"SessionID","Configuration Name","Observer","DeviceID","Edited","Session Start Time","Recorded Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Habitat Map","Grid Size","Image Size","Notes","Channel Type","Subject Type","Focal Name","Group Count","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Space Use Grid X","Space Use Grid Y","Space Use Grid XY","Space Use Coordinate X","Space Use Coordinate Y","Space Use Coordinate XY","Question: Scent used and location sprayed?_35"
"91","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-27 14:51:03","2022-05-27 14:51:03","2022-05-27 15:06:03","2022-05-27 15:01:03","2022-05-27","15:01:03","2022","5","15","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Bongsu","","20","Malayan Tigers","Stereotypy","2","4","2, 4","69","201","69, 201",""
"91","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-27 14:51:03","2022-05-27 14:51:03","2022-05-27 15:06:03","2022-05-27 15:01:33","2022-05-27","15:01:33","2022","5","15","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Bongsu","","21","Malayan Tigers","Stereotypy","3","4","3, 4","145","199","145, 199",""
"91","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-27 14:51:03","2022-05-27 14:51:03","2022-05-27 15:06:03","2022-05-27 15:02:03","2022-05-27","15:02:03","2022","5","15","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Bongsu","","22","Malayan Tigers","Stereotypy","5","3","5, 3","236","140","236, 140",""
"91","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-27 14:51:03","2022-05-27 14:51:03","2022-05-27 15:06:03","2022-05-27 15:02:33","2022-05-27","15:02:33","2022","5","15","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Bongsu","","23","Malayan Tigers","Investigation of Scent","5","1","5, 1","244","54","244, 54",""
"91","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-27 14:51:03","2022-05-27 14:51:03","2022-05-27 15:06:03","2022-05-27 15:03:03","2022-05-27","15:03:03","2022","5","15","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Bongsu","","24","Malayan Tigers","Investigation of Scent","3","5","3, 5","143","248","143, 248",""
"91","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-27 14:51:03","2022-05-27 14:51:03","2022-05-27 15:06:03","2022-05-27 15:03:33","2022-05-27","15:03:33","2022","5","15","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Bongsu","","25","Malayan Tigers","Investigation of Scent","3","4","3, 4","138","218","138, 218",""
"91","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-27 14:51:03","2022-05-27 14:51:03","2022-05-27 15:06:03","2022-05-27 15:04:03","2022-05-27","15:04:03","2022","5","15","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Bongsu","","26","Malayan Tigers","Stereotypy","3","5","3, 5","146","242","146, 242",""
"91","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-27 14:51:03","2022-05-27 14:51:03","2022-05-27 15:06:03","2022-05-27 15:04:33","2022-05-27","15:04:33","2022","5","15","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Bongsu","","27","Malayan Tigers","Stereotypy","2","4","2, 4","71","191","71, 191",""
"91","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-27 14:51:03","2022-05-27 14:51:03","2022-05-27 15:06:03","2022-05-27 15:05:03","2022-05-27","15:05:03","2022","5","15","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Bongsu","","28","Malayan Tigers","Stereotypy","3","4","3, 4","123","186","123, 186",""
"91","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-27 14:51:03","2022-05-27 14:51:03","2022-05-27 15:06:03","2022-05-27 15:05:33","2022-05-27","15:05:33","2022","5","15","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Bongsu","","29","Malayan Tigers","Stereotypy","2","4","2, 4","67","183","67, 183",""
